"title","username","date","stars","content"
"Barbie","LoveofLegacy","21 July 2023",610,"Margot does the best with what she's given, but this film was very disappointing to me. It was marketed as a fun, quirky satire with homages to other movies. It started that way, but ended with over-dramatized speeches and an ending that clearly tried to make the audience feel something, but left everyone just feeling confused. And before you say I'm a crotchety old man, I'm a woman in my 20s, so I'm pretty sure I'm this movie's target audience. The saddest part is there were parents with their kids in the theater that were victims of the poor marketing, because this is not a kid's movie. Overall, the humor was fun on occasion and the film is beautiful to look at, but the whole concept falls apart in the second half of the film and becomes a pity party for the ""strong"" woman."
"Barbie","aherdofbeautifulwildponies","26 July 2023",610,"Before making Barbie (2023), Greta Gerwig single-handedly directed two films: Lady Bird (2017) and Little Women (2019). Both were about girls on the precipice of adolescence, both had nuanced and layered portrayals of mother-daughter relationships, both combined imaginative visuals with clever dialogue. Both were very, very good. Given those credentials, one may expect Barbie to be as intelligent, convincing and amusing a picture - and, well, it isn't.The fantasy comedy begins in Barbie Land, a place where Barbie (played by Margot Robbie) is having the best day every day, in the company of other Barbies and, occasionally, Kens. The designs, costumes, and cinematography do an excellent job re-creating the Mattel vision in its pink plastic perfection. The introduction is referential but not overtly reliant on what is external to the film; it is smartly self-aware and presents a world where Barbie can be anything - a President, a Physicist, a Journalist, a Lawyer, or a Mermaid. Much like with the original toys, Ken (Ryan Gosling) comes as an afterthought and 'only exists within the warmth of Barbie's gaze'.The plot is set in motion when Barbie begins having thoughts about death and, normally suspended in the state of standing on the balls of her feet, she feels her heels hit the ground. What follows is The Wizard of Oz (1939) journey in reverse (the parallel is explicit) and, ultimately, a Pinocchio storyline of the doll in the Real World.If Barbie was fully dedicated to that conceit - as promised by the trailer - it could be an interesting exploration in the way of The Truman Show (1998) or Stranger Than Fiction (2006). Instead, the film chooses to introduce a handful of conflicts, threats, and plot-lines that are never fully realised. What is the nature of the connection between a Barbie and the girl who plays with the doll in the Real World? What would happen if Barbie were put back in the box? Why is Gloria (America Ferrera), the receptionist at the Mattel headquarters and, later, Barbie's Real-World companion, depressed - and how is that eventually resolved? Why is Gloria's daughter Sasha (Ariana Greenblatt) cross with her mother? Why does the board of Mattel spend one third of the film hiding in the bushes? Most importantly, the crux of the third-act conflict - set in Barbie Land now renamed 'Kendom' - contradicts what had been previously established about that world and its inhabitants.Towards the finale, the production evolves into explicit commentary on gender roles. One side is presented as clueless and attention-seeking, while the other is manipulative and vengeful. The film repeatedly takes offence with 'mansplaining', yet behaves in a blithely patronising manner towards the viewer. Much of what is declared is not supported by what has been shown, and the picture relies on the presumed prior experience of the audience, rather than on storytelling. While the denouement includes one of the film's highlights, the musical number 'I'm Just Ken', the ending does not resolve (or acknowledge) much, and the final scene is reductive to the point of being offensive.Barbie is very easy on the eye, and the acting ranges from competent to inspired, with praiseworthy performances by the leading actors. Margot Robbie is pitch-perfect as Barbie, and Ryan Gosling shines as her counterpart, often stealing the show. Situational comedy and slapstick mostly land, while some of the bon mots are funny, yet hardly plausible when spoken by the characters.If only this were better written. If only the joyride in the pink convertible did not leave you with blond hair in your mouth."
"Barbie","Revuer223","23 July 2023",610,"The quality, the humor, and the writing of the movie is fun for a while. It's quirky and it's unique. When they get into the weeds and try to explore deeper themes, the movie is a miss. The middle expositional phase of the movie, I must say, is a bore.The movie was so close to being great, but it was incapable of delivering a message without having a character literally give a speech worth of dialogue.What could have been a great satire and what began as a cleverly funny movie turned into a preachy and moralizing movie in the end. But I guess the charm of the first half of the movie made up for the shortcomings."
"Barbie","ramair350","31 July 2023",1010,"As much as it pains me to give a movie called ""Barbie"" a 10 out of 10, I have to do so. It is so brilliantly handled and finely crafted, I have to give the filmakers credit. Yes, I am somewhat conservative person and former law enforcement officer. I'm a guy. I like guy things. Hell I even enjoyed the Battleship movie a few years ago (an absolutely ridiculous but fun romp of an action film). But I also like to experience other perspectives. And man oh man does this movie deliver that in spades - pretty much encapsulated everything my wife has tried to convey about her entire career and life experience wrapped up into two hours! The humor, the sets, the acting, and the ability to weave the current narrative into the story was just perfect. I don't agree with some of the points of the movie, but again, that's ok. This movie wasn't designed to give a balanced perspective of men versus women; it is a no-holds-barred unapologetic crazy ride of a rant about the real issues that women have faced since they were ""allowed"" to have ""real jobs"" and do the same things as men. Give me a well done film that is a blast to watch, that makes you think, and that was done from a place of creativity, passion, and attention to detail, and I'll call it what it is: a 10 out of 10 masterpiece."
"Barbie","Natcat87","22 July 2023",610,"As a woman that grew up with Barbie, I was very excited for this movie. I was curious to see how they would evolve the ""stereotypical Barbie"" into something more. But the messaging in this movie was so heavy handed that it completely lost the plot. I consider myself a proponent of gender equality, and this ain't the way to get it.Barbieland flips the script on the patriarchy of the real world, giving women the power and leaving the Kens as attractive accessories. Once Ken gets a glimpse of the real world he brings the patriarchy to Barbieland and the Barbies are ""brainwashed"" (this happens suddenly and without much explanation). The Kens are bumbling fools with zero understanding of governance, and Barbieland falls into disarray.The movie's solution to this is for the Barbies to give a lot of Ted talks on the patriarchy, fool the Kens into war with each other, and rule once again. But isn't the point if gender equality... equality?The feminist messaging could have been so much more effective if it was laid on so THICK. More humor and nuance please. The story gets lost, the real world characters don't add much, and not much changes in the end.What was enjoyable was the acting, the sets and of course the nostalgia."
"Barbie","Sleepin_Dragon","21 July 2023",810,"It pains me to say it, but I enjoyed this movie so much more then I was expecting to, musical numbers, humour, there truly is something for the whole family yo enjoy.Bright, garish and somewhat kitsch, those were my expectations, and sure it's a veritable cornucopia of glitter and rainbows, but what I wasn't expecting, was for the film to be so engaging, there's actually some real depth that I wasn't expecting. That opening introduction, that came as a major surprise, and pretty much set the tone.Of course there are plenty of double entendres, laughs that adults will enjoy, kids will no doubt chuckle away too.I'm pretty sure this film is going to win awards for its production, it's very well made, creative design and visuals, a lot of thought has gone into this. Greta Gerwig did a great job.Margot Robbie is glorious as Barbie, Ryan Gosling was great I thought. The pair shared some terrific scenes, real chemistry, and plenty of cutting one liners.Great use of music, everything fitted into the film so well.8/10."
"Barbie","imseeg","22 July 2023",710,"The first reason to go see it:It's good fun. It's fairytale comedy, over the top, pastiche and it works! It simply does! Margot Robie and Ryan Gosling have great chemistry. Everybody sorta agrees on that.Kids are probably not the target audience, although if they would watch it, they wouldnt be shocked or something, they would merely be missing the social and gender issues and jokes of many scenes.The second reason to go see it:It really looks the part. I am not into sets or costumes in particular (at all), but I was impressed with the fun world they had created. It really looks fabulous and I really appreciate it when a movie is eyecandy from start till finish.The third and best reason to go see it:I am a dude and I honestly feared the worst when going along with my wife. But I honestly did not expect this sugarcoated, fairytale Barbieworld to touch my heart in the end, but it did! What the what!They somehow created a finale, that gave me goosebumps and a terrific feel good vibe. You cant wish for more than that. As a dude watching a Barbie picture. Hello!The only reason AGAINST seeing it:If you are a dude and dont like men being portrayed as weak and emotionally inferior to women, then better not go see it, because all the men are (hilarious) loosers and whiners in this movie, with a brilliant performance by Ryan Gosling as an insecure crybaby, who just cant get Barbie to love him.Feared the worst, but in the end I was pleasantly suprised. It's certainly not a brilliant movie, but it is a perfect summer escape movie, with lots of jokes and a wonderful feel good vibe!"
"Barbie","coxaneesa","24 July 2023",810,"I thought this would be so much different. The ending made me feel sad and empty. Ken and Barbie don't end up together and they made Ken seem like a complete idiot. Actually they presented men as being dumb throughout the whole movie. And I'm not a man but that's just not true. It was depressing and sad and never the way Barbie was created for. I know a lot of people won't agree with me and that's okay but it was just pointless going to see it. The only good thing is that the Barbie aesthetic was beautifully done.I just do not like the way they presented men, it's almost like they want women to turn against men. Which in that case the point of the movie is very degrading for many people."
"Barbie","G-Joshua-Benjamin","21 July 2023",610,"I don't know if I put spoilers in here. I am super worn out. Haha So I will just put that I did.I had no clue what this movie was like or about. It just seemed like a strange, different type of movie. To me, it was going to be some kind of movie for kids that tells you everything is perfect. It was nothing like that.There were a couple of young teen girls on the right of my mom and me. I felt weird knowing that. There is no way I would bring a kid or teen to see this.The movie is really all focused on political and gender views. So that one totally surprised me.There are points in which I kind of rolled my eyes. A bit of the singing kind of went on. There were also times that I was all teary.There are sexual references in this. Young kids would not understand. But one part in which she tells of a specific thing that she does not have, and a specific thing Ken does not have, that was a bit strange.The end threw me off. Here is a movie that seems to be saying we are equal, but we are not treated that way. Yet, at the same time it seems to be making men out to be mindless idiots. Also, something one of the male characters asks at the end and the reply the woman gives, seems to lead one to believe that things will be the exact same as they were. But unlike the way things seem to be, in Barbie land, the women will be above all men. I didn't really get that. Then, what may be the last lines of the movie, place Barbie somewhere. I didn't get the point of it.I heard adults laughing repeatedly. The kids that were their kind of sat silent.This is one of those movies that I cannot see every watching again. But it was fun and unique seeing it in the theater. Also, I dug the set design all the other stuff in the Barbie world. It was just cool to see."
"Barbie","MissSimonetta","20 July 2023",410,"I went to see this today, everyone in my group dressed in pink and ready to at least be entertained by pastel-colored camp for two hours. BARBIE kind of succeeds there: I loved the costuming and sets of Barbieland, and Margot Robie is such a fantastic actress, the perfect embodiment of the optimistic, she-can-do-it-all Barbie. Ryan Gosling was a scene-stealer with his horse obsession and faux mink coat.Despite all this, the movie as a whole was disappointing. As much as it succeeds at campy comedy and musical numbers, its attempts at feminist commentary and existentialism fall flat. The messaging is so on the nose, spelled right out for the audience so no one will have to strain their brain. Not that these scenes can't be funny or hit home (the guitar gag gave me college flashbacks), but a little subtlety could not have hurt.I also had issues with the differences between Barbieland and the real world. I can accept everyone in Barbieland talking in what many term ""Marvel speak."" If you've watched anything made in the past 15 years you'll recognize it right away: ""You know, we make all these pop culture references (like Spiderman in the MCU with ALIENS) and we say what we think in the bluntest way possible because it's so awkward that it's funny... oooor it WAS when it was novel and new years ago. Now it's staler than a can of Pepsi Clear. Oh yeah-- I remember the 90s! Macarena!""The Barbies and Kens are supposed to be simplistic figures with no sense of emotional nuance. However, the humans in the real world are supposed to be the opposite-- messy, complicated, not that charming. Why are they also talking like that? It just feels lazy.And then there are the existential themes: Margot Robie's Barbie gets tired of being an ideal of independent womanhood in an eternal paradise. At the end, she chooses to be human and embrace mortality because mortality is ultimately what gives our lives meaning. A decent theme. Too bad the movie never really delves into it. It's given lip service, nothing more.It had some cute moments but honestly, the end experience was meh. The hype was more memorable than the finished product."
