"title","username","date","stars","content"
"Marvels","Sleepin_Dragon","10 November 2023",410,"Carol Danvers is attempting to save the universe, but her incredible powers become entangled with those of Kamala Khan and Monica Rambeau, they must unite to save the world.Ouch, what can you say, this is surely one of Marvel's lowest points, I honestly don't know who the target audience is, or who this is going to appeal to, young teens only maybe? Anyhow, this was an absolute mess.The writing was clearly problematic, it doesn't gel, it is genuinely all over the place. I do very much wonder if huge sections of this film cut? It can be the only answer, it just doesn't flow at all, and that short run time...Special effects, some were pretty good, some were poor, I just wish there was a greater focus on plot, it just seemed like 100 minutes of CGI, noise and random events.Brie Larson, I'm not sure about you, but to me she looked totally disinterested and bored by the whole thing, what I didn't see, was someone committed to the role. I thought Samuel Jackson was rather good, but again poorly served by the script.It didn't look great from the trailers, and in reality, it's another clunker from Marvel Studios.4/10."
"Marvels","judywalker2","14 December 2023",510,"Went to see this movie with my 17- and 11-year-old granddaughters. One is a Ms. Marvel fan and the other is now. For me I was hoping for something that children and adults could enjoy. But, no only kids will enjoy this silly mess.I enjoyed the Captain Marvel movie and thought the criticism was not warranted. I also loved Wanda Vision and the introduction of Monica Rambeau and I was hoping for at least a good continuation of her story. I didn't watch Ms. Marvel because I'm not a teen and I knew it wasn't for me; and after watching her parts in this movie I'm glad I stuck to that.All three actresses are good and of course Samuel L in always a pleasure to see, but none of the other characters including the so-called villain were the least bit interesting. Most of the scenes were just downright silly. I hope they continue Monica's story with better writing and I wish Marvel would stop being silly and go back to making movies for adults and kids."
"Marvels","isaacsundaralingam","11 November 2023",310,"The MCU has absolutely overstayed its welcome. Post Avengers Endgame, these projects have been feeling more and more like content than cinema (except the rare surprises like GOTG 3). Superhero fatigue, they call it and this movie does practically nothing but to amp it up to 11.You watch the trailer, you know what happens. You bet on originality, you end up homeless. There's nothing new for me to say that I haven't already said about any of the other MCU content as of late. It's so generic that I'm confident a year from now, no one would remember this movie even existed. With every new MCU project, the jokes-per-minute ratio keeps getting worse, the villains are a writer's version of a stock photograph (I can't even remember the villain's name in this movie and it hasn't even been a day since I watched it), the CGI is so out there you can almost see the CGI artists' tears on screen, and it's getting more and more difficult to tell each MCU project apart cos they're all just the same.The only few positives I can identify here are actresses Iman Vellani and Brie Larson (Larson, who seems much more relaxed and settled into her superhero boots), and maybe the flashy action sequences. Otherwise, there's nothing here to watch, nothing here to experience and nothing here to enjoy. What a shame."
"Marvels","MrDHWong","9 November 2023",410,"""The Marvels"" is the sequel to 2019's ""Captain Marvel"", a continuation of the Disney+ series ""Ms. Marvel"", and the 33rd film in the Marvel Cinematic Universe. Starring Brie Larson, Teyonah Parris, and Iman Vellani, it represents a painful look at the downward spiral the MCU has found itself caught in since the end of Phase 3.Sometime after the events of ""Captain Marvel"", Carol Danvers/Captain Marvel (Brie Larson) has unintentionally started a civil war among the alien race known as the Kree. The leader of the Kree, Dar-Benn (Zawe Ashton), soon finds one half of the Quantum Bands and later seeks out the other half, which is in the possession of Kamala Khan/Ms. Marvel (Iman Vellani). At the request of Nick Fury (Samuel L. Jackson), Carol teams up with Monica Rambeau (Teyonah Parris) to negotiate peace among the Kree, but as the two investigate a wormhole in outer space, Monica, Carol, and Kamala start mysteriously switching powers with one another. Realising something is amiss, the trio are forced to work together to figure out what is causing this strange phenomena and hopefully put a stop to both Dar-Benn and the warring Kree.It's becoming harder and harder to call myself fan of the MCU, given the array of serviceable to terrible projects they have been churning out lately. To be fair though, it is a tall order to top something as ambitious as the culmination of over ten years worth of universe building after both ""Avengers: Infinity War"" and ""Avengers: Endgame"" pulled it off so effectively years ago. For the longest time, I have been willing to defend the post-Endgame MCU for trying different things, as I was under the impression that all of this would be leading to exciting new projects on the horizon. However, after sitting through ""The Marvels"", I can say with a hint of heartbreak that practically all of my optimism for the MCU's future has all but disappeared, as it contains next to nothing worth defending from a creative standpoint.Perhaps the best way to describe my viewing experience with this film would be ""apathetic"", because at no point does it ever feel like anything important is at stake. This is mainly due to either our three heroes being too overpowered or there not being enough information provided about the ones who need saving. Whenever a horde of enemies are swarming the trio, we watch as the three of them effortlessly take them out without even breaking a sweat. Action-packed moments like these that once elicited excitement have now been reduced to a series of bland fistfights and generic CGI blasts that have all been done before in better MCU films.We see Carol Danvers quickly blast everyone away with her energy beams and block punches with her hands, never once showing any signs that she is in real danger. Her accomplice Monica Rambeau does pretty much the same thing, only with less time on screen. Even Kamala Khan, who is the biggest fish-out-of-water in this situation, has no major trouble dealing with foes coming at her from every angle, always using her half of the Quantum Band to her advantage. How is it possible to keep the audience on their toes if the enemy forces are so inefficient that even an inexperienced child can wipe the floor with them this easily? On that note, it also doesn't help that none of these three heroes appear to have any physical weaknesses or personal insecurities holding them back, which causes all of the tension to evaporate instantly.In addition to this, we are barely shown anything interesting about the Kree that will keep the audience invested in their role in the story. As far as the film is concerned, they are nothing more than a stock species of extraterrestrials that are causing problems simply because the plot demands it. The original ""Captain Marvel"" film established that the Kree were the ones who inadvertently gave Carol her powers and took her in among them. Yet, this film never reminds the audience of that, instead opting to throw them right into the thick of the conflict without any important context. As a result, I just did not care at all about what happened to any of these people.It's also worth mentioning that this film is rife with obvious re-edits and tonal inconsistencies. One scene where this is most evident is where Carol Danvers is opening up to both Rambeau and Khan about her relationship with the Kree. What could have been a good method of showcasing Danvers's humanity is instead brushed aside for something completely unrelated after less than two minutes. I couldn't help but assume that this scene was supposed to go on much longer but was cut in post production for whatever reason. To add insult to injury, the scene is then immediately followed by a strange attempt at comic relief which fails to raise even a single laugh. Although Marvel films are known for their blending of comedy with drama, a moment like this felt like a rather tacky addition to the film that only hampers the already poor narrative structure. Worse still, there are other similar occurrences like this throughout the rest of the story.One of the biggest problems with the original ""Captain Marvel"" film was how weakly written the title character was, with her lack of likeable character traits and overly serious demeanour being a major reason why she is not viewed favourably by fans. You'd expect the filmmakers to remedy this problem for the sequel, but you would be wrong. I'm not sure whether it's Brie Larson's underwhelming performance or just plain old bad writing but I have never once felt any fondness for Carol Danvers as a person. As mentioned above, she efficiently fights her way through many bad guys with no issue whatsoever, never once showing any emotional weakness or other potential vulnerabilities. Because of this, Carol Danvers never feels like a real person, being nothing more than a one-dimensional superhero that is practically impossible for anybody to identify with. Her character has not changed or grown since the first film, and it looks like she won't be doing so anytime soon.I keep trying to remind myself of Monica Rambeau's contribution to the story but nothing memorable ever comes to mind without doing some kind of online research. Like Brie Larson, there is nothing especially remarkable about Teyonah Parris's performance, as her character is as bland as she comes. Though it is established that Rambeau looked up to Carol Danvers as a child, her role in this story is nothing more than playing second fiddle to an already dull lead protagonist. Yes, Rambeau is very strong and yes, she is more than capable of taking care of herself in a fight, but beyond that what else does she offer? Most of the time she just goes along with Danvers's orders without ever questioning her or giving her personal opinions, making her nothing more than a blind follower. I was hoping to have seen some kind of opposing dynamic between Danvers and Rambeau, as that would have given their characters an important amount of depth the distinguish the two from one another. No such luck I'm afraid.The only character I sort of cared about was Kamala Khan, whose childlike naiveté made her the most relatable of the three leads. In her feature film debut, Iman Vellani does carry over many of Khan's human traits from the Disney+ series ""Ms. Marvel"", being that she's still young and coming to terms with mastering her powers. Unfortunately, she does not achieve this through the character herself, but rather due to how woefully underwritten her two co-stars are in comparison. I wanted to see the three as kindred spirits, fighting as trio but standing out as individuals. Instead, all we get are two dull, stoic, overpowered adults and a young kid working together for no other reason than because the writers said so.As depressing as it sounds, the once mighty MCU is showing no signs of improvement as ""The Marvels"" just may be the worst film in the series so far. There simply isn't enough reason to justify its existence outside of some kind of contractual obligation by the higher ups at Disney, and I fully respect many people's decision to skip it altogether. At this point, I seriously doubt the MCU can ever return to its former glory, as this film is set to become the series' biggest box office bomb to date. I can only hope in vain that Disney will learn an important lesson from this film's failure, but knowing their track record that seems unlikely.I rate it 4/10."
"Marvels","danieljfarthing","9 January 2024",110,"2019's ""Captain Marvel"" wasn't too bad, for a superhero movie, but its sequel ""The Marvels"" is an unmitigated stinking disaster - the WORST Marvel movie to date (which is saying something). Set a decade or two after the original, Brie Larson (via Samuel L Jackson) teams somewhat inadvertently with Teyonah Parris & Iman Vellani (awful) to save Gary Lewis' people (what happened to previous leader Ben Mendelsohn?!) from evil Zawe Ashton. Director Nia DaCosta (who also co-wrote this tripe with Megan McDonnell & Elissa Karasik) creates a headache inducing, fast (as if bizarrely sped up), frantic, thoroughly annoying, tiresome piece of garbage. Absolutely dreadful."
"Marvels","altugozhan","12 November 2023",210,"I just want to know who is responsible for MCUs phase 4 and how he or she can still be employedThere are 0(zero) good movies and only 1 or 2 tv shows that are watchable over a total of 20 productions and this is one of the bottom ranked ones. Marvel did a fantastic job over the decade, earned trust of fans besides billions of dollars and they are wasting it like there is no tomorrow.I don't know how a franchise can change so drastically from hero to zero.I have watched every marvel movie out there and this is equally as bad as she-hulk.Story is definitely boring, protagonists are boring, antagonist is boring, action is boring, battles are boring, some scenes are absurd and ridiculous.I have absolutely nothing good to say about this movie. Don't waste your money or your time.Looks like the movie is only made to make money in India."
"Marvels","ThereelscoopwithKK","10 November 2023",110,"This second installment makes the original Captain Marvel look like a cinematic masterpiece... Nothing about this movie works. Although Brie Larson's acting has improved over the years it feels like she doesn't want to be there for this at all. Further, when you break it down, there is really no story at all happening. In fact, the solution to the entire problem is so extremely simple and solvable that you really wonder why there was a conflict in the first place. So much of everything is unexplained and eventually you stop trying to figure it out because you eventually lose all interest . Samuel L Jackson's character , Nick Fury, is hardly even a shell of his former self and is essentially now demoted to comedic relief.The scenes don't really mesh together at all. None of them are really necessary to advancing a plot and all feature the same repeated choreographic battle. The villain lacks any real charisma and is only provided a very brief backstory. Overall she never feels like too much of a threat.There's one part in particular that I think is absolutely a candidate for worst sequence of 2023. Without spoiling it , it is essentially a planet that looks like a cheap rip off of the Wizard of Oz. It just captures all of the problems with this movie into one scene. There's been a lot of less than stellar work from Marvel since endgame, but this is reaching new depths.I'm not even going to get started on the cats scene with the theme song....Please Loki, reset the entire timeline."
"Marvels","Avwillfan89","23 December 2023",110,"This film is somehow way more depressing and worse than Ant Man Quantumania. We honestly thought Eternals was bad, but that was only the beginning. It was only going to go downhill from there.Watching this movie felt like watching a beloved friend in a coma fighting for her life. It was sad, frustrating and ultimately hopeless. So much potential squandered right before our very eyes.Much has been said about the Girl Power aspect of this story, but it doesn't mean jack when the characters are so thinly written. After the big character tension build up between Carol and Monica, with the latter resenting her for not coming back, their fractures mend themselves very quickly. There is no chemistry between the the two at all.The villain is Bland with a capitol B, and highly forgettable.Nick Fury is actually pathetic in this movie. He doesn't at all act like the Fury we know and love. He was more in character in Far From Home when Talos was impersonating him!I don't think I've ever had this much of a bad experience with a film since Cats. And it is telling that there actually features a ludicrous scene involving baby flerkens and the song Memory.What the actual hell, Marvel?The only good thing is that it is mercifully short, and Iman Vellani does seem to be enjoying herself in the role.Once a great studio, brought crumbling down on itself. If I could give it zero stars, I would."
"Marvels","chenp-54708","10 November 2023",210,"Marvel movies really have fallen apart haven't they? This is definitely one of the worst Marvels movie I have seen out of all the Marvel movies I had watched. There really isn't too much to say about the movie because ""The Marvels"" is pretty much like almost every single Marvel movie but the writing, humor, direction, and performances are pretty much all over the place. Director Nia DaCosta has made ""Little Woods"" which I liked but her direction here is pretty bad and goes all over the place.The special effects are kind of rough on the edges, the actions and thrills were just okay and the performances, despite a pretty good cast, they aren't very good. Brie Larson is an actress I like but unfortunately her performance felt weak and lacking. The other performances as well including the child performances. The story isn't interesting as the writing is pretty bland and none of the characters were interesting. With a short runtime, the movie surprisingly was really boring.I do like superhero movies but it seems this one really just sucked. Overall, it's bad."
"Marvels","kevin_robbins","12 November 2023",310,"My wife and I recently caught Marvel's (2023) in theaters. The plot revolves around Captain Marvel's mistake in choosing sides during a battle, disrupting the cosmic balance. Two young ladies gain powers in the process, and Captain Marvel must collaborate with them to rectify her error and restore equilibrium to the universe.Directed by Nia DaCosta (Candyman) and featuring Brie Larson (Lessons in Chemistry), Teyonah Parris (Dear White People), Iman Vellani (Ms. Marvel), Samuel L. Jackson (Pulp Fiction), and Zawe Ashton (Blitz).This film boasts clean and classic Marvel-style characters, cinematography, action scenes, and special effects. However, the plot seems somewhat lackluster, with Captain Marvel possibly appearing more as a villain than a hero. The backstories of the heroes lack sufficient development, making it challenging to form a connection with them. The cat steals the show initially but feels overdone by the end, and even Samuel L. Jackson's wit falls short of expectations.In summary, this superhero movie prioritizes its message over a compelling storyline. While the characters and visuals are in line with Marvel's trademark style, the plot may leave audiences indifferent. The lack of character depth and an engaging storyline earns this film a 3/10, making it a skip-worthy experience."
