"title","username","date","stars","content"
"Midsommar","TheLittleSongbird","26 December 2023",410,"'Midsommar' (2019)Opening thoughts: It took me a long time to get round to watching 'Midsommar', due to not having time or the opportunity to watch it easily. Have always appreciated the genre it fits in, where there are many great films, and Florence Pugh showed a lot of promise seeing her for the first time in 'Little Women'. That it was also directed by the director responsible for the very good 'Hereditary' intrigued me too. The premise was one of those could have gone either way ones, it was advertised bizarrely and the critical reception was very polarising, particularly from those that didn't like it.After seeing 'Midsommar', count me in as somebody who didn't care for it. It is not an awful film and there are things done right, including an intriguing start, but the second half was a bizarre and tedious mess, so this viewer is this case more understanding of those who didn't like the film than liked. This has absolutely nothing to do with not understanding what 'Midsommar' was going to be or going for, quite the opposite, the issue is that it doesn't achieve its aims very well at all.Good things: 'Midsommar' does have good things. It is a very well made film visually, with photography that is both dreamlike and nightmarish in all the necessary places. The scenery is also absolutely beautiful, while also with a suitably ominous atmosphere. Did think too that the film started off well, with an unsettling opening that was creepy and suspenseful. The sacrifice scene was similarly suitably horrifying, with it being the scariest (and goriest) the film got.Regarding the acting, to me it was quite good considering what was given to them (which actually come to think of it wasn't much). Pugh anchors the film beautifully in a compellingly tortured lead performance.Bad things: However, there are also a lot of drawbacks. Most of the characters are incredibly thinly sketched and behave annoyingly and/or illogically. Pugh has the only character that has any development or who is interesting. Some friends thought that Will Poulter's character had the most personality, to me actually he was annoying and his presence jarred with the rest of the atmosphere. The direction did have some slickness but got very slack and muddled later on the more weird the second half became.The script has nothing memorable, is very stilted and can fall into self-indulgence. The story and pacing are the weakest aspects of 'Midsommar'. The story starts off with great atmosphere and intrigue, but post the sacrifice scene any creepiness and sense of horror pretty much completely goes. Meaning that the second half is incredibly long winded, this out increasingly (at times non-existent) and is bizarre to the point of near-incoherence. Especially the dragged out and truly daft climax that ends on an abrupt, incomplete feeling note and one of the silliest and most unintentionally funny sex scenes in recent years.Some of the intended creepy behaviours of the cult were potentially unnerving and sounded it on paper but were under-explored and/or left as loose ends or implied. A much shorter length definitely would have helped the pacing and atmosphere, the film is overlong and could have easily been trimmed by 25-30 minutes which would have tightened the pace. Which would have been achieved if scenes were made shorter and if motivations went into more detail.Closing thoughts: Overall, underwhelming.4/10."
"Midsommar","imseeg","29 May 2022",NA,"This is really weird stuff. Not real horror, but more of a psychological mindbender.The bad: it doesnt really get scary or thrilling. It gets weird allright.The good: decent acting in a incredibly weird mindbending script.Not suited for casual viewers."
"Midsommar","Leofwine_draca","15 March 2020",510,"MIDSOMMAR is the latest film from arthouse director Ari Aster, whose HEREDITARY wowed audiences a few years ago. While I liked that film I didn't love it, but I do love folk horror and THE WICKER MAN so I expected a lot from this one. Sadly, I didn't get it. MIDSOMMAR is a real mixed bag of a movie, with a decent first half. Florence Pugh gives a fine performance and the opening sequence is particularly powerful, getting off to a good footing. The slow-burning suspense works effectively until the genuine shocks of the 'cliff' sequence, but after this things really stop working. There's the usual sex and violent content, but it all feels very meandering and dragged out, saddled with unlikeable characters and a genuine lack of meaning and narrative cohesion. The cinematography is great and the actors certainly do their best, but by the end I felt this had become predictable, random (Viking execution methods for shock value, etc.) and a bit like a boring slasher film."
"Midsommar","BA_Harrison","1 December 2019",310,"Spurred on by his friends, anthropology student Christian (Jack Reynor) is on the verge of breaking up with his girlfriend Dani (Florence Pugh), but a family tragedy for Dani changes his mind. Feeling guilty about putting his girlfriend through further emotional trauma, Christian asks her to accompany him and his pals on a once-in-a-lifetime trip to the remote ancestral village of their Swedish friend Pelle (Vilhelm Blomgren), who has invited them take part in the commune's nine-day midsummer festival.Director Ari Aster (Hereditary) might claim that Midsommar only pays homage to brilliant UK folk horror The Wicker Man, but all I can see is a blatant, bloated and extremely tedious rip-off. Where The Wicker Man (Director's Cut) runs at a reasonable 99 minutes, its engrossing story whisking the viewer along as Edward Woodward's character attempts to solve a mystery on a remote Scottish island, Aster's film (The Director's Cut) takes a whopping 171 minutes to tell its very familiar tale of unwary outsiders falling foul of an strange religion that practises bizarre rituals.Moving at a snail's pace, the first hour of Midsummar is a massive challenge for the viewer, as the students travel to the village of the Hårga, meet the locals, and take part in ancient rites which involve lots of chanting and taking of hallucinogens. Those who make it through this tedium will eventually be rewarded with a shocking scene that is the equivalent of Hereditary's decapitation (ie., it's designed to wake up the viewer and become a talking point): before the eyes of the horrified students, elders of the village throw themselves off a precipice, falling onto the rocks below with very messy results.Anyone hoping that this will herald a turning point in the film will be sorely disappointed: the dull drama continues, with an excess of singing, dancing and a glut of aerial overhead shots, with hints of weirdness to indicate where the film is heading (as if we didn't know already). As Christian's friends go missing one-by-one, and the locals become increasingly weird in their behaviour, neither he nor Dani question the wisdom of remaining in the village, both continuing to partake in the commune's activities. A bit of ritualistic sex and the sight of a bloke with his lungs pulled out of his back are about the film's only other noteworthy moments before the whole boring mess finishes in inevitable fashion, stealing its fiery climax from... you guessed it.... The Wicker Man.In short, what a load of (Swedish meat)balls! If you haven't already seen it, watch The Wicker Man first."
"Midsommar","Sleepin_Dragon","13 August 2019",810,"Be first thing I wanted to do after leaving the cinema, was to discover what the swedish thought of this film, in general they saw it with humour, and an open mind, as I expected.It's pretty much split right down the middle, first half, dare I say it, normality, drama, with a heavy focus on grief, and the harsh way it can affect someone, particularly if there's trauma involved. The second half is very trippy, and we delve into the world of pagan ritual and bizarre rights, which makes The Whicker Man look like a tea party.The main leads, Florence Pugh and Jack Reynor, were terrific. Pugh had impressed previously in The Little Drummer Girl, it was obvious she was destined for big things, she played Dani with a real sense of torment, very impressive. The cast had a realism, it was refreshing not to watch a cast that look set for a Dior catwalk.It won't be for everyone, and I must point out that some scenes are painfully long, needlessly. Some amazing special effects.Violence and nudity, but neither are gratuitous or simply for shock. A few laughs, several times the cinema erupted in laughter.Very good. 8/10"
"Midsommar","ks-60500","3 October 2019",310,"It's unusual horror but the unusual is nothing special, too long and waste of time and most important is not horrific at all."
"Midsommar","schuelererik","31 May 2020",410,"Let me first say, this is not a ""bad"" movie. It utilizes creative camera work and cinematography to add to the narrative. But I personally still didn't like it. Its main goal in my opinion is to disturb the viewer as much as possible through the use of sound, gory visuals and the feeling of isolation and insanity. While I can see how this can speak to a certain audience, it didn't appeal to me and made me want to turn of the movie quite a few times. If you are into these kinds of films, definitely give this a try but if you, like me, enjoy being scared by a horror movie instead of weirded out and disturbed, this might not be for you."
"Midsommar","manuel_medeiros","27 April 2020",810,"It is worth saying upfront that MidSommar should be a very divisive movie. If you tend to watch mostly popular movies or standard horror films, Midsommar is not for you.
Which explains the amount of 1 out of 10 reviews here on IMDb, despite an overall 7.1 rating.But if you don't mind a slow building narrative with tension, innovative cinematography and plenty of look-away gore, then you might be able to appreciate just how unique Midsommar really is.Briefly - MidSommar shows us a group of friends going on what seems like an idyllic trip to the Midsummer festival in a village in Northern Sweden. But that quickly turns into a harrowing display of Pagan rituals and ceremonies.The movie is long because it's not afraid to take its time explaining the background of the characters (the group of friends and particularly the young woman in which it focuses). So from the start you can feel that this will be a different experience from most horror films.But the movie really takes off once they arrive in Sweden. And it goes a long way to explain why Ari Aster is being so buzzed as a new director. Some of the shots shown are, at least in my book, completely outside the norm. And early on help you involve in the world of the film, and in the experience of the main characters.In the terms of cinematography, it is one of the most beautiful movies I have ever seen. And that becomes an even more impressive achievement because of its contrast with the horrid gore images displayed throughout the movie.The grass's green, the floral arrangements, the group dances, everything really paints a picturesque image of the Midsommar festivities. Despite all the unexpected events the characters are witnessing, that sense is kept all throughout 2h30 of film.All of the imagery helped me, as a viewer, to truly feel in the perspective of the characters. Walking into the festival, hopeful, experience the shock of everything that happens in front of them.I felt I too went on that trip with the characters, and I was shocked again and again together with them. It stuck with me for hours on end after watching. Which is one the best complements I can make to the work of a director in my view.Truly recommended it if you are up to watching a different yet aesthetically beautiful piece of cinema."
"Midsommar","TxMike","4 December 2019",NA,"I watched this at home on BluRay from my public library, not my wife's type of movie.This was made by the same writer/director that brought us ""Hereditary"" a year earlier, I like this one much more. It is confusing much of the time but when it is all over you realize it is a fable of sorts for the lead character, Dani, to come to some resolution from the loss of her family and coming to terms with her dud of a boyfriend.Look up the entire lyrics of 'Hotel California' by The Eagles, with this movie in mind you can find many parallels.I already was a Florence Pugh fan from her roles in Lady MacBeth (2016) and Fighting With My Family (2019). Here she is Dani who tragically loses her sister and parents, in grief accompanies her boyfriend and three other guys to Sweden in late June to witness, and ultimately participate in, a ritualistic Pagan festival. But it also goes deeper, to the core of the group's beliefs. By the end Dani achieves resolution, the other four are not so fortunate.This is a really strange movie once they get to Sweden, there is very explicit and gory violence, there is a big non-erotic sex scene with a number of nude characters. Everything is designed to shock the senses of the viewer. I would not like to see movies like this on a regular basis but as a one-off experience I found it a totally worthwhile 2 1/2 hours."
"Midsommar","palistineroyal","6 July 2019",710,"I'm not sure how but the movie had me on edge the entire time. You have to enjoy cinematography to really enjoy this. I left the movie like I just came down from a high. The whole thing felt like a bad trip afterwards, I was pleased and not at the same time but I think that's how we're meant to feel. It's a good change from super hero movies and terribly made horror movies."
"Midsommar","IMDbKeepsDeletingMyReviews","2 September 2020",210,"This is basically a hipster version of ""Wicker Man"", only overly long, pretentious and with highly unlikable characters.Don't look for any hidden meanings, it's all pretty much on the nose, but it's dealt with a lot of pretense and utterly boring. Of course it's celebrated by half-intellectual wannabe film critics, a true product of our time.Now, I wouldn't say that it's incompetently made, though. It has some nice shots, maybe even an interesting premise, but it ultimately fails by being unable to draw you in and by having an astounding upside-down moral view on things. I was appalled at how this film handles the evualuation of its characters' actions, the implausible reactions and the overall conclusion. That's why it is unbelievable, preachy and downright annoying. Add the unnecessary runtime of 148 minutes, and you'll find yourself wishing to have done something more sensible instead of watching this - for example getting drunk and wetting yourself in a puddle of your own puke."
"Midsommar","view_and_review","3 July 2019",110,"What would you think a movie involving white clothes and head wreaths would be about? If you said creepy pagan rituals then you're right.Unfortunately, Midsommar was about what I thought it'd be about. Pagan rituals. Were the rituals more extreme than--let's say--Wicker Man? Yes. But extreme wasn't what I was looking for. I was looking for truly different. Truly scary. This movie wasn't scary it was just disturbing. There were ugly nude bodies, some gore, and overall disturbing ceremonies but it was still a pagan ritual movie.But it was also slow. Exasperatingly slow. Slower than a constipated sloth. There were too many silent mood-setting shots. I've been programmed to know that silent shots in scary movies are for build-up. It's upon the movie maker to deliver on that build up. I can't count how many slow-moving shots in this movie were building up to nothing. I get it. You can't have something ghastly happen every time or it will become mundane. But not at all?When these five friends went to Sweden for a getaway and decided to stop off in some remote village for their nine-day festival you knew something was gonna go down. But did it have to move so slowly and drag on forever? Did the scenes have to last so long? Between crying, moaning, singing, dancing, and panting they added so many nerve-wracking noises. Yeah, they made the movie more disturbing and also more annoying.I remained patient throughout the entire film only to NOT be rewarded for my patience. As I suffered through the main character's neurosis and moping I couldn't help but think, ""There better be gold at the end of this rainbow."" I hate to say it, there was no gold... nor silver, nor copper, or any precious metal. It was just a fire being fed with two and a half hours of my precious time."
"Midsommar","rivertam26","3 July 2019",610,"Gorgeous visuals, creative cinematography and solid performances but the movie feels long winded and disconnected. The characters are underdeveloped and the plot is a little all over the place. The movie does however manage to be intentionally funny at times but not scary or very disturbing."
"Midsommar","kosmasp","24 July 2020",1010,"Let's get right into it. The movie will divide viewers. Actually some might not even read what I'm typing right now, dismissing or liking my review just based on the score I gave it. I'm not complaining or trying to get your attention. I gave this a 10/10, something that many would consider sacred (like how some people view trees or other things). But I think the movie deserves it. And while I watched the theatrical version in cinemas, I did watch the Directors Cut the other day too to get a complete picture - no pun intended.Now I know that pacing will be an issue for some - this takes its time and those expecting horror or their version of horror, will have quite a few issues with the movie. Especially in the long version (almost 3 hours). But the framing, the pictures you get are worth it. I would argue that if you ask Ari, why he chose that or this angle, why he lingered on that shot, why he used special effects that are subtle and almost not unnoticeable ... he will be able to answer them. He probably won't, letting you decipher and decide what you just watched, but he had a plan. He really knows his stuff.Now that doesn't mean that you will like the movie. Just because it is made with love and care and attention to every detail, does not make it invincible. It is a taste thing - what do you like to watch in movies. Subtle horror, that is also a drama? Nods to classics like Wicker Man? Will you hate this because to heighten things it takes creative liberty? I don't know if the sun thing (allegedly some claim it is positioned wrong geographically) is a mistake or actually another detail, to make this even more eerie. The costumes may not be traditional, but what the village people do, hopefully isn't traditional either ... if you get hung up on those things, you would be missing the bigger picture. This is not here to critisize or make fun of swedish traditions. This is here to entertain and to hold the viewers suspense - edge of the seat kind of stuff.So yes this isn't your regular horror movie and it is better for it. And while there is not much violence in it (on screen), the occasional outbursts are really spiking! This is not for the faint hearted or the easily offended ... be aware and have the strong stomach to get through it. This is beautiful and horrifying at the same time and really demands to be seen many times - every time you do, you will discover something new! And with that accidental rhyme, I'll say give this movie your dime"
"Midsommar","Icecreambenjaminelliott","4 July 2019",1010,"I'll start this off with a warning. If you're a mainstream horror fan, you will not like this. It is not The Conjuring, it does not have jump scares, it is a slow movie. It's not scary in the way that most horror films are scary. It doesn't frighten you. It felt traumatic. This is an artsy movie for sure. If you don't like that, don't see it.Florence Pugh is absolutely phenomenal. She provides the heart for the film and is what keeps the audience emotionally invensted in such a disturbing film. It's one of the greatest horror performances that I have ever seen.The cinematography is stunningly gorgeous. I've never seen a film look so gory and grotesque and yet absolutely beatiful at the same time. It's some of the best cinematography that I've seen in years. The art direction is also phenomenal in providing us with a floral, candy colored, nightmare world.And Ari Aster's screenplay and direction is what makes this so special and separates it from other horror pieces. It's slow, methodical, eerie. But the characters are psychological and deep. The dialogue is real and colorful. The plot is surreal and disturbing. He let's the scares crawl at you as opposed to jump at you. He allows you to see what will happen, process it, feel the shock of what's about to happen, and then still shock you even more when it happens.This film will be divisive. I have no doubt that many people here will hate this. However, while this is a challenging film, it's also a great film. Halfway through a character says something along the lines of ""That was so messed up, but I'm trying to keep an open mind."" I suggest that audiences take this advice.PSA, this movie is extremely violent, bloody, and gory. It's pretty horrifying and it could have stuff that is triggering."
