"title","username","date","stars","content"
"Napoleon","imseeg","23 November 2023",610,"A word of warning for those expecting another Gladiator or non stop action spectacle. It is not. Truly not...The bad: director Ridley Scott knows how to make action scenes look slick and impressive (and he does an excellent job again), but he is also known for being quite average at making a drama. And this movie tries (and partly fails) to combine action and drama and somehow ends up being neither one. THAT is one of the reasons I'll only rate it with 6 stars.More bad: this story has a weak ""dramatic"" middle (love story) part, which is kinda tedious. And that brings me to a storyline complaint, namely that this story is all over the place. They cram SO much events and history and different characters from different time periods into this one movie that it kinda confused and numbed me down, instead of thrilling me, as an epic should do.This movie was made for Apple streaming (release date january 2024) in the first place, but they made a shorter (butchered) version for the cinemas in order to be able to compete for the Oscars, which demands that a movie must have run in the cinemas for a couple of weeks. No cinema version, no Oscars.The original Apple streaming version lasted some 2 hours longer. Nobody is gonna sit in the cinema for over 4 hours, hence they cut this movie up and now it feels somewhat rushed, confusing and disjointed at certain moments.Not any good then? Joaquin Phoenix is the one redeeming feature. He nails it.. He makes Napoleon look like a complete joke of a man and I love Joaquin Phoenix' performance, but that unfortunately didnt compensate for the other actors being just about average and with little actor's chemistry between them.I had been warned beforehand by friends that this wasnt the spectacle or epic drama they were hoping for and unfortunately they were right. Certainly not a terrible movie, but one that is just about average.Thank you for reading my 2100 th review on Imdb."
"Napoleon","petra_ste","3 December 2023",610,"Ridley Scott directed one of the best movies ever made set during the Napoleonic Wars: unfortunately, that movie is not Napoleon but his cinematic debut, The Duellists, forty years ago.Unsurprisingly, The Duellists had a strong source material (it was based on a novel by Joseph Conrad which it often followed almost verbatim), while Napoleon has an uneven screenplay by David Scarpa.Even past the age of eighty Sir Ridley can still shoot pretty and energetic pictures but his hits and misses depend on the scripts he picks, and he hasn't always shown the best discernment.The elephant in the room is the large amount of historical inaccuracies. Even as a history buff I can forgive many of those: cutting or simplifying events for the sake of narrative, or even some overdramatization like the meeting between Napoleon and Wellington (it never happened) or Napoleon being present at Marie Antoinette's execution (he wasn't); however, stuff like Napoleon charging with his troops at Waterloo is absolute cringe, a kid's (or a lout's) idea of history.Still, the big problems here are characterization and pacing.The movie is a demythologization (some would say emasculation) of Napoleon. If you want to take this route then fair enough, but the character here fails to be consistent. I can buy a Napoleon who is an egomaniac and an overrated tactician (like in Tolstoy's War and Peace). I do not buy one who is an anxious, insecure, uncharismatic cold fish but also a stern tactical genius and an effective leader of men, one who flees from Egypt because Josephine is unfaithful but is also an unflappable military mastermind.Phoenix is a great actor and does what he can but the two sides of the character just don't gel with each other. You can't have parodic moments like Napoleon rolling down the stairs during his coup against the Directory, despondently pouting as he waits for the rain to stop at Waterloo or awkwardly climbing on a box to stand face to face with a pharaoh's mummy (with his diminutive stature becoming a not-too-subtle metaphor of his overall mediocrity)... AND THEN have him magnetically charm the French soldiers into obedience after the Elba. This gawky Napoleon would have been shot to pieces there.The other problem is pacing. A single movie about the whole life of Napoleon is in itself absurd, like making ""a movie about World War 2"". There is material in Napoleon's life for a VERY dense miniseries (which Steven Spielberg is reportedly planning).Napoleon's first wife Josephine (Vanessa Kirby) plays a huge role here but I would argue the movie has either too little or way too much of her. This needed to be either focused mostly on Napoleon's personal life or to drastically reduce the (fairly repetitive after a while) moments where Napoleon is obsessed with his wife.As it is now, it tries to tell - but rushes through - twenty very eventful years of European history and yet devotes more time to Napoleon visiting Josephine after their divorce than to his Russian campaign.It's like making a D-Day movie which keeps cutting back and forth from the Normandy landings to Hitler spending time with Eva Braun. You can have either The Longest Day or Der Untergang, not both.Still, it's not worthless. There are some interesting moments and set-pieces and, while Phoenix is saddled with a contradictory character, Kirby at least is excellent.6/10."
"Napoleon","MissSimonetta","25 November 2023",210,"Ridley Scott's NAPOLEON feels like the highlight reel of a lengthy miniseries. Considering there's a 4-hour cut of this film, that explains it all.NAPOLEON is certainly good spectacle. The battle scenes are breathtaking. Unfortunately, it's also shallow. I know Scott has sneered at viewers criticizing the historical inaccuracies in the film, but I'm more bothered by a total lack of interesting character psychology or even coherent storytelling. Characters pop in and out, leaving little impression in their brief scenes. Relationships between characters are barely fleshed out, including that of Napoleon and Josephine, which dominates the running time. Also, potentially unpopular opinion, I thought Joaquin Phoenix's performance was a one-note bore.Perhaps the 4-hour version is a richer piece of work. As is, NAPOLEON is a let down, especially after Scott's brilliant 2021 period piece THE LAST DUEL, which had all the drama and psychological depth this movie lacked."
"Napoleon","dhunjiwadia","26 November 2023",510,"Ridley Scott's Napoleon is more hysterical than historical. History is like an uninvited guest in this movie. Stunning battle visuals don't make up for gross historical approximations.If you want to watch a masterpiece then see Waterloo, with Rod Steiger and Christopher Plummer. And if you want a historical enumeration then watch the Napoleon series with Christian Clavier, Isabella Rossalini, John Malkovich and Gerard Depardieu.This movie was made for Apple streaming. Then they made a butchered version for cinema to be able to compete for the Oscars. The original Apple streaming version will be at least 2 hours longer. This cut version for cinema is somewhat rushed, disjointed and, as a result, confusing.We never really learn why Napoleon was so powerful and won the admiration of so many. Here it's almost as if he stumbles through greatness. He was a great politician in reality, over here he's shown as a childish brute. The focus was more on set pieces and his relationship with Josephine.Joaquin Phoenix can play odd or troubled characters well. Here he barely succeeds in persuading the viewers that he is Napoleon. He's too old for this role (Napoleon was 24 when Marie Antoinette was guillotined) and made the character seem bizarre than a charismatic leader. Vanessa Kirby as Josephine gets more traction.The cinematography by Dariusz Wolski is of a very high order. The battle scenes are filmed well. Ridley Scott knows how to make action scenes slick and impressive. But overall it's a below average movie. Napoleon deserves better than this shambolic movie."
"Napoleon","krzysiektom","26 November 2023",210,"What a disappointment. This film is BORING. A movie with a huge budget, good actors, about a person as fascinating and complex as Bonaparte, who participated in more than 60 battles and had drama, triumphs and failures that would be enough for a few lifetimes, is... BORING! Nothing is well explained, it's unclear who is who beside Napoleon and Josephine. Several unnecessary sex scenes between the two. What's even worse is that it's unclear why the French nation would follow and worship this Napoleon as he's portrayed in this movie, because in this movie he seems a mediocre personality, without much charisma or extraordinary abilities. In addition, everything on the screen looks greyish blue, without vivid colors, and it is a bit depressing. I liked only two elements of this movie: musical score and costumes."
"Napoleon","levybob","2 December 2023",410,"I read the reviews of Ridley Scott's 'Napoleon' and knew it was not the great film everyone anticipated. Even so, I went. And what I discovered is that it's bad in the worst kind of way; It is dull. Lifeless. A flat un-involving story about characters who are in every way unlikable. Another reviewer wrote that he / she had trouble staying awake through its 2 hours 40 minutes run-time. When I read that I laughed. Now that I have seen the film, I am laughing no longer.Napoleon Bonaparte as Emperor of France did a lot of good things; much of the country's 'Civil Code' was instituted during his reign. But this film deals only with (a) Napoleon the warrior and (b) Napoleon the husband, and fails to deliver a well-rounded character in either sense. We know he loves France but aside from living there we don't know what drives his passion. His hatred for anything not France is clear, but the reasons for this hatred are never explained. There are battles a'plenty but the reason for them is elusive. Enemies become friends. Friends become enemies. We care about none of them. Thousands die. Somehow we care nothing about them either.There is, in Napoleon, no one to root for. Making matters worse there is an uneven performance by Joaquin Phoenix. His 'later' Napoleon becomes a different character than we'd seen earlier in the film. And no, I don't think it is attributed to Napoleon's rise in power. I think it's Phoenix; his acting, his portrayal. His Napoleon is far less quirky as the film progresses (as though the actor wants out of his role), and in this way, he is far less interesting.If there's anyone about whom we do care that character would be Josephine, Napoleon's wife and Empress of France. Vanessa Kirby is ravishing in the role. A rare beauty but one with a shadow-filled past as well as future. We can understand Napoleon's undying love her but the truth is, she's not the nicest girl on the block. There's little doubt that Mr. Bonaparte would never have 'won' her, were he not the country's future leader. So, again, no one to truly root for.Ah, yes. The battle scenes. They're fine (though it seems as though a battle fought at the base of Egypt's pyramids was cut out). But I think fewer battles and more unraveling of the reasons behind those battles between France, England, Russia, Austria, and other countries might make the remaining battles more meaningful.More involving.Which, as I said, this film is definitely not."
"Napoleon","Eleatic67","2 March 2024",610,"The success of any film depends mostly on the script. Why Scott would initiate such an expensive project without ensuring a refined and sophisticated script is a mystery. I'm not convinced there is a single interesting scene that provides insight into the characters or captures through language the prevailing political ideas. Scott's frequent missteps as a director reflect a greater interest in the cinematic rather than in the dramatic. However, this seems inevitable when your priority is delivering a blockbuster that will have broad appeal instead of digging deeper into culture, society, or history. A colossal waste of an extraordinary opportunity to create an important film about a fascinating historical figure."
"Napoleon","Vic_max","22 November 2023",610,"Many of Ridley Scott's movies are like visual masterpieces with epic storylines. I was sort of expecting something like Gladiator. Instead, it was just ""meh"" - I probably would have quit watching if it was on TV.Joaquin Phoenix has demonstrated that he can play odd or troubled characters well, but I don't think he was a good choice for Napoleon. He made the character seem more bizarre than charismatic or leader-like. I think the strongest and most interesting character was actually Josephine (Vanessa Kirby) ... who will probably get the most traction from the movie.The story itself wasn't that interesting because it wasn't explained that well. For example, his departure from Elba island seemed to randomly happen without much explanation. The elevation to a monarch-like role also happens without much explanation. It's like you're watching snippets of a bigger, more interesting story.I become so disconnected from the story that I almost fell asleep during some of the long battle sequences.The movie would probably have been better if it captured just one pivotal event or time period ... or better yet, if it had been a miniseries. While I will still look forward to any future movie from Scott, Napoleon deserved better."
"Napoleon","epicking","23 November 2023",310,"Im only focused on the historical aspect here ... and I only mentions a couple of out many hereIn the beginning, Napoleon abandons a battle at the Egyptian pyramids because Joséphine is unfaithful at home in Paris. It is pure fiction.Much later, when the two have divorced, he marches on Paris from his famous exile on the island of Elba, because he is jealous that the Russian Tsar Alexander is apparently taking a swing with Joséphine. From whom Napoleon, by the way, has long since divorced.It is a distortion of history of the worst kind. Joséphine dies of pneumonia in 1814. Napoleon first marches on Paris in 1815 to regain power, a wild story that could be a whole movie in itself.If you´re gonna make an expensive movie like this, get things right instead of just making romantic stuff up."
"Napoleon","LongTimeMovieLover","23 November 2023",410,"First, let me get this out of the way. If you want to watch a focused masterpiece, watch Waterloo with Rod Steiger and Christopher Plummer. It could have only been better (for me) if Steiger had a French accent. Second, if you want to watch a general scoping history of Napoleon, consider the excellent and approachable Napoleon series with Christian Clavier (with a French accent), Isabella Rossallini, John Malkovich and Gerard Depardieu. (Clavier is sometimes unfairly maligned when indeed he does a splendid job in my view.) There are other well-reputed less approachable versions, but these two are excellent.Now, as this work, let's start with Napoleon. A boyishly handsome, philosophically grounded (Napoleonic Code), egotistical, pugnacious genius, sometimes brooding sometimes loving, sometimes playing. That is, a strategically gifted, tactically trained, boyishly handsome, egotistical, passionate, lovable, fighting, moody, young genius.I am sorry, but this character requires someone like a young Brando or Pacino. Phoenix simply cannot, no-way, pull it off. Way wrong. Crazy wrong. He does not have the range. He is a great actor only in a particular type of role, a crouching villainous Caesar or a depressive Joker. A melancholic low-key whispering introverted Napoleon does not work, and some form of delusion by Scott allowed or put Phoenix into this role. I can easily get past failure of boyish good looks and the way wrong age (and Napoleon's young age is part of the story itself). But I cannot get past whispering tone and failure of charisma, passion and charm. Napoleon seduced a lot of people in a lot of ways.It's not Phoenix's fault he was miscast. Way miscast. Vanessa Kirby was fine and did her job. But, no one in this movie deserves any acting nominations. Take one common scene, being the ""Will you shoot your emperor?"" following Napoleon's escape from Elba and return to France, the other referenced Napoleons had timing, tension, and drama, here blah, nothing. Nothing! It's just bad. Really bad.Nothing in this movie taught me anything, made me think, made me feel, or moved me in any way. Terribly unengaging. Even the couple attempts at comic relief (if there would have been any tension, which was devoid) it was misplaced and failed miserably.Now, let's talk about the versions. This is the 2.5H version and there is another 4H version to be released by Apple+. Everything is a gimmick these days. Every streaming channel has one gem, but I'll suggest this work is inherently flawed by miscast Phoenix and more time to blend the scenes won't do it. In this 2.5H version, it's like a bunch of scenes without any context. We go from the French Revolution through the Reign of Terror through Napoleon's coup through Austerlitz through first defeat through Elba through return to France through Waterloo, through St. Helena. In 2.5H, even with the right actor who has engaging charisma and charm, it's too much ground. No character development whatsoever. None. Even in 4H it's like getting two bad suits for the price of one. It's just more of what's bad, which is miscast Phoenix in the titular role. I only understood the movie because I love and know the history. My wife and 86 year old father could not follow it, and my 19 year old daughter (somewhat tired from returning from college) dozed off a couple of times. No one liked the movie. And we even went out of our way to the IMAX because, well, it was Napoleon.I almost forgot to mention the emasculation of Napoleon by Josephine, the jarring politically correct now-required social normalizing casting of extras, and the ending credits that count the dead but give no context for the concomitant social reforms.Braveheart was historically all wrong, but it was still a great story with a wonderful score. This Napoleon is a bad story, and, even if Napoleon was a fictional character it was still bad. It's both a bad reflection of a real man, a grossly incomplete historical depiction, and a bad story poorly told no matter what.Napoleon was loved, hated, admired and ridiculed, by many of the same people, at different times. He was, if nothing else, one of the greatest characters in the recorded history of mankind. To try to do it all fairly, with the wrong titular actor, is silly. Really silly. Delusively silly.Sir Ridley's movie The Last Duel failed for a similar reason, and then he blames the audience. It's not the production or even perhaps the precise movie direction that is going wrong, it's that the story itself is not well-told. Perhaps it's time for him to teach his tactical craft to a young person with the right vision for the story expression.I need to watch my Waterloo DVD again to get my head back to the right flavor of Napoleon the Great, not Napoleon the Whisperer.Nothing good, new or better. A waste of my time and money."
