"title","username","date","stars","content"
"Past Lives","evanston_dad","11 July 2023",NA,"""Past Lives"" is like a Stephen Sondheim song come to life.You know the song ""The Road You Didn't Take"" from ""Follies?"" How it's all about the different doors that exist along the path of life, but you only get to enter one at a time, leaving you to wonder what was behind the other doors. And that one path isn't necessarily better or worse than another, just different. And that you'll never know what was behind the doors you didn't choose, and that anyway time will eventually smooth over the regret you feel at not choosing them instead. Except that it doesn't always, and you may never stop completely regretting the life you think you might have had, even if you don't really mind the life you do have.This movie is that song. It's watching a beautifully defined female character convince herself and her husband that her life is what she wants it to be, and that she doesn't wish she'd taken a chance on the childhood sweetheart who comes back into her life after years apart and with whom she has off the charts chemistry. The actors who play the sweethearts as adults, Greta Lee and Teo Yoo, are both exceptional, but it's Lee who creates the most fascinating character. A bit cold, a bit distant, not always even completely likable in a way that's hard to define, a bit casually cruel to her husband who by anything the movie shows us can't be judged as anything other than a good, solid, and super understanding guy. But then there's that last scene that took my breath away, when we see the resolve not to feel emotions that would be inconvenient to feel give way, and we realize just how much has been roiling underneath the surface of Lee's character all along. It's magnificent and earned its right to leave me a quivering mess.The movie is also a sensitive look at what it feels like to be an immigrant, torn between two cultures, and not sure whether the nostalgia you feel is what you really want or just the allure of the familiar.A really great bit of counterprogramming in a summer that seems to be dishing up nothing but Marvel movies.Grade: A."
"Past Lives","gbill-74877","19 June 2023",NA,"""If you had never left Seoul, would I have still looked for you? Would we have dated? Broken up? Gotten married? Would we have had kids together?""Such a touching film, but at the same time, never cloying, because the script and direction from Celine Song were so wonderfully restrained. I liked how it acknowledged the random little things in our lives that all have to add up in a certain way for us to end up with our partner in life, things in retrospect which are kind of mind-boggling, but at the same time, gave a certain nod to the idea of fate, the Buddhist ""in-yun"" concept of meeting someone again and again in our reincarnations until it reaches the threshold that allows for marriage. The characters were beautifully drawn and didn't devolve into cliches, an example of which was the husband who gave a master class in being understanding and supportive. Beautiful cinematography too. Definitely one to see."
"Past Lives","Jeremy_Urquhart","12 September 2023",NA,"Past Lives hurts. It's sort of like all the movies in the Before Trilogy rolled into one, and if the two people there had first parted ways in childhood. It also made me think about some recent films, like The Worst Person in the World, Return to Seoul, and Aftersun. It's got more in common with the first two than the last of those, but I guess they're all going to form a 2020s Quadrilogy of Sadness in my mind (much more memorable than a Triangle of the same thing).Maybe Quadrilogy of Longing or Regret is a better name. These are all films that grapple with regrets of the past and uncertainties of the future. They largely centre on young characters, and all demonstrate that cinema is not dead or bankrupt on ideas if filmmakers like the ones behind these are still finding new, interesting, and uncompromising ways to make viewers feel very moved. I do compare Past Lives to those, but I should also say it in no way feels derivative. The emotional and narrative experience it offers is still distinct and undeniably effective.When it comes to Past Lives, there were just a couple of scenes where I thought the dialogue was laying it on a little thick, but this film's otherwise hard to fault. It has great performances, and a real understated beauty to the visuals that I really loved. Part of me wonders how it would've resonated if I'd seen it at a different age, but I feel like anyone who's in their 20s or 30s and is currently feeling a little vulnerable in life will find this one hits hard - maybe even too hard, because it strikes a nerve and feels raw in the best (and most difficult) way possible."
"Past Lives","benjaminskylerhill","23 June 2023",NA,"And first-time director Celine Song has created one of these. It's a masterpiece of deeply genuine human emotion. And that masterpiece is Past Lives.Song's dialogue is understated to the point of risking not creating a connection with the characters. It would not have worked with sub-par actors. But the risk payed off big time-all of these actors are wonderful, allowing their body language and line delivery fill in the gaps with their characters' true psychology.A simple plot becomes a richly complex story of lost love, sought closure, and found purpose; and it's all due to Celine Song having the proper understanding of when to allow silence to speak.Yet despite the frequent bouts of silence, not a moment feels wasted. Every shot and sentence is meticulously edited to give us exactly what we need to feel each moment with its full emotional power.This very well may be the best film of 2023. It's the work of a master storyteller, and it's only her first film."
"Past Lives","dannylee-78082","15 July 2023",NA,"When I first saw the trailer of this movie, I was worried that it was going to be one of those cringe love story movie that exploits the Asian American hype in cinema. My concerns were all dispelled rather quickly. Celine Song's debut feature, ""Past Lives"" is a story of nostalgia and longing. It's less about romantic love because the movie makes it clear that Hae-sung and Na-young are never really in love with each other. There were many scenes where them being together contrasted with several couples around them. They were close but not intimate. Nobody ever crosses the line and remain as friends who long for each other.I also want to comment how well written the husband's character is. He is married into a foreign culture and he probably always worried about him not being ""Korean""makes him somehow an inadequate partner. He worries that his relationship somehow got in the way of Nora's immigrant dreams. While he has his own insecurities about the relationship and Hae-sung (who is by all standards, a 10/10 idealistic man), he accepts Nora's longing and embraces her as she cries after sending away Hae-sung. He understands that it's not about a romantic feeling but saying goodbye to one of the few connections and nostalgia to her home country.The entire movie also had technically surprising moments, making it hard to believe that this is a feature debut. It is filled with beautiful, sensitive shots that capture New York and Seoul pretty well. The music is dreamy and I've been spamming the soundtrack. Subtlety is well preserved and that's what i look for in movies. Dialogues were expertly captured with the director often using the technique of giving the focus to the listener rather than the speaker - directing the audience's attention to the reaction of what is being said.Overall, a beautiful film with little to criticize. One comment I have is that the accent in the Koreans were a little funny. However, I think it captures the awkwardness well enough. Being bilingual in Korean and English usually makes me bothered in watching films like this but I was not this time. Translations were also done pretty well, thankfully (this is SO important for me)."
"Past Lives","statuskuo","17 June 2023",NA,"I've always bemoaned how cinema caters now to the children and that there are no adult films. Here is one that treats the audiencem that have the opportunity to watch itm as adults. While it does play like a stage play (most likely because director/writer Celine Strong is a playwriter) it doesn't take away the fact of the ideas within it.The story is of two Korean kids, who are in love, by their kid standards. They most likely spent years since childhood walking to school and spending countless days together. In the break, it is an unceremonious goodbye. Words escape them as we would want them to express their feelings. You won't get that here. Nora and her family make it to Canada, and finds it difficult to assimilate into her school.Hae Sung, meanwhile, stays back in Korea to go through the mandatory military service.12 years past. And now Hae Sung curiously has reached out to Nora. They begin an internet relationship which never crosses over to romantic, but you can feel a deep connection. It's closeness. While Nora has now moved on to New York, Hae Sung is now in college to study engineering.They spent countless time re-living their lives through the internet, but eventually, Nora realizes this has been holding her back. She makes the difficult decision to stop talking to Hae Sung so they can grow since neither can invest real time together. Hae Sung reluctantly agrees.Another 12 years past, and we now are the point where Nora is married to another writer. He is an American and, though finds ways to express his love to Nora, there is still a little bit of distance. Since Nora has roots deep in Korea. Hae Sung is a working man now and decides to visit Nora.The rest of the story is up for you to watch. I will say, it is pretty brutally honest. For anyone who has gone through long distance relationships, loved and lost and then re-connected in some way, what follows in the film may bring up raw feelings. But director Song REALLY wants you to overlook the ""what could've been aspect"" to the idea that there are just people in life you have a connection with, but never can be with them in a tangible world that we can see now. The spiritual nature/philosophical idea is similar to a metaverse concept. But isn't done in a way like Marvel does. It's about connections and the inarticulate way we cannot understand why we have these people in our lives.If you are self-aware of your life, you tend to consider these possibilities. Though the movie lingers slowly, the poetic nature of their silence will either calm you or make you frustrated that it hasn't moved faster. This movie is VERY much for grown ups. The themes need you to live a life where many people come through your life in order for you to appreciate what the tone of it ultimately means. There are no answers here. Only solid performances by its two leads, Greta Lee and Teo Yoo. They are fantastic in playing thought processes out.It's a deep story of love that requires you invest some of your own brain power to enjoy. Feel the ache of love."
"Past Lives","aweynand96","7 July 2023",NA,"The wind, the leaves, the streets, the towers; everything exists with a supple glow. There's a love for environment behind the camera, where director Celine Song stands, telling her story. Kirchner, her cinematographer, lends immense craft to the film's 35mm scenery. Nora, Hae Sung, Arthur; the three central characters are handled with wonderful grace. They easily communicate complex emotion. They're likable, and they're relatable. New York City, Seoul; I hardly know either of them practically, but now I feel like I do, in some intimate way. These two cities are dearly loved. Longing; what did you think of when you finished this film?Past Lives is an honest, delicate, and ambling movie. Nora, once a little girl from urban Korea, chooses her path as an American writer after immigrating with her family. She marries a different writer (Arthur, a Jewish New Yorker), adopts the culture of NYC, and chases her ambition. She's still Korean, but the identity ebbs. She doesn't sound like it anymore. Hae Sung, her childhood friend who never left the country, is very much Korean; his path is that of an engineer living with his parents, which he describes as ordinary. He loves Nora deeply. He loved her when she left Seoul at twelve, and loved her still at the points in which their lives intersected. Nora loves him too, in her own complicated, almost grieving way. He is her connection to a childhood she longs for, washed away in her memories, and seldom revisited because of the complicated feelings that come with being a child immigrant.The story is simple but it bursts at the seams with emotion and humor. Admittedly slow, but without wasting your time. I connected with all three of the main characters to some degree, each carried by an actor with the apparent gravity of a veteran superstar. They are emotionally intelligent, and they react to each other in interesting, startlingly realistic ways. Celine Song plays on a very specific feeling of aching; for a forgotten time in one's life, for an identity, or for a lover. It's particular, but looking around the audience as we left the theater, you could see that most people were in their own heads, thinking of something (or someone). We all long for something lost.Perhaps not all of us, but probably most, have also wrestled with the feeling of permanence in the journey we choose for ourselves. You only live once, said Drake, but that's really a terrifying thought sometimes. Carving out one lifetime - engineered across thousands of individual decisions - means foregoing an infinite number of others. People deal with this in a number of ways; providence, reincarnation, and an afterlife, to name a few. Nora and Hae Sung might be soulmates, but will they know it in this lifetime, or the next?I really can't wait for the next project Song works on, and that goes double for the cast. I sunk my teeth into this deeply romantic, deeply resonant film, which is capable of bringing immense longing to the surface. It is coated with a beautiful score and draped atop memorable settings. It's a home-run.9/10 for making me want to visit Seoul."
"Past Lives","TheBigSick","25 June 2023",NA,"Past Lives is a beautifully understated and emotionally resonant film about the power of love, loss, and second chances. The film follows Nora (Greta Lee) and Hae Sung (Teo Yoo), two childhood friends who are reunited 20 years after they were separated by Nora's family's emigration from South Korea. The film explores the complex emotions that arise when these two old friends reconnect, as they grapple with the choices they've made in their lives and the possibility of what might have been.Song's direction is assured and sensitive, and she elicits outstanding performances from her two leads. Lee and Yoo are both incredibly charismatic and believable as Nora and Hae Sung, and their chemistry is undeniable.The film's cinematography is gorgeous, with Shabier Kirchner's lens capturing the beauty of both Seoul and New York City. The film's score is also superb, with a haunting and evocative soundtrack that perfectly complements the film's emotional tone.Past Lives is a beautifully made and deeply moving film that will stay with you long after you've seen it. It's a film about love, loss, and the power of second chances, and it's sure to resonate with anyone who has ever experienced the pain of separation or the joy of reunion.Rating: 4 out of 5 starsSome of the things that I particularly liked about the film include:The film's understated and realistic depiction of love and relationships.The film's sensitive and nuanced portrayal of the Asian American experience.The film's beautiful cinematography and evocative score.The film's two lead performances, which are both incredibly charismatic and believable.Overall, I thought Past Lives was a beautiful and moving film that is sure to stay with me long after I've seen it. I highly recommend it to anyone who is looking for a thoughtful and emotionally resonant film to watch."
"Past Lives","dnkqbzw","26 June 2023",NA,"I saw Past Lives alone on a Sunday morning with 3 other single men in the theater. We all sat in opposite corners. Every single one of us cried, shamelessly, out loud as this movie concluded. If your movie makes 4 dudes show up alone to a movie at 10:30am on a Sunday and cry, you hit it out of the park.Past Lives takes an intimate look at the people we disconnect, and reconnect with, over the course of our lives. Specifically focusing on reconnecting with a childhood crush, Past Lives features an elite performance from Greta Lee in the lead role. She displays a range of emotion from tears you can feel to the somber, dry expressions many show when they simply don't know how to express their feelings.This film moves fast even though its pace is slow. The dialog shifting languages keeps your attention and creates the beautiful cultural connection needed to make this story of an immigrant and the man who stayed behind work. The way this story builds Greta's life in NY at the moment you believe they're finally going to connect... god this movie got me.I was blown away by this movie. It's the most I've felt in a movie in a long time. Sadness, angst, loneliness, fear, human connection. Past Lives is what most slow paced dramas wish they could be."
"Past Lives","elisavbizau","11 December 2023",NA,"Such a beautiful picture film. It has everything you want from a good movie: a cute romance, philosophy to guide the narrative, characters that feel real even if you don't get to see what they do (in his case) or barely see anything (in her case). It's as if the scriptwriters managed to weave a touching romance out of snippets, without it feeling like you're watching something unfinished.There's this one scene where they show how time passes. I loved the cinematography behind that. Simple yet rewarding visually.From this movie I learned that you should accept love and realise that you don't have to give up what you have for what you could have. You can accept both those feelings of love inside of you and even if it hurts, it's what I believe makes the soul feel alive."
